;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Simulation results - disaggregated. Individual dwelling simulations are listed below in sequential order (dwelling 1 first, then dwelling 2 etc.) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dwelling index;Date;Time;Occupancy;Activity;Lighting demand;Appliance demand;Casual thermal gains from occupants, lighting and appliances;Outdoor temperature;Outdoor global radiation (horizontal);Passive solar gains;Primary heating system thermal output;External building node temperature;Internal building node temperature;Hot water demand (litres);Hot water temperature in hot water tank;Space heating timer settings;Hot water heating timer settings;Heating system switched on;Hot water heating required;Emitter temperature;Radiation incident on PV array;PV output;Net dwelling electricity demand;Heat output from primary heating system to space;Heat output from primary heating system to hot water;Fuel flow rate (gas);Solar power incident on collector;Solar thermal collector control state;Solar thermal collector temperature;Heat gains to cylinder from solar thermal collector;Dwelling self-consumption;Space cooling timer settings;Cooling system switched on;Cooling output from cooling system to space;Cooler Emitter temperature;Heating Thermostat Set Point;Cooling Thermostat Set Point;Electricity used by cooling system;Electricity used by heating system
;;;;;Plight;Pa;θc;θo;Go;φs;φh;θb;θi;;θcyl;;;;;θem;Gi;Ppv;Pnet;φh, space;φh, water;mfuel;;;θcollector;φcollector;Pself;;;φh, space;θem;θem;θem;;
;;;;;W;W;W;°C;Wm-2;W;W;°C;°C;ltr.min-1;°C;;;;;°C;Wm-2;W;W;W;W;m3/h;W;;°C;W;kWh;;;W;°C;°C;°C;W;W
1;02/08/2015;12.19.00 AM;1;0;0;64;132,9;11,72273939;0;0;0;16,75279447;18,55721798;0;61,71195767;0;0;0;0;19,21828804;0;0;64;0;0;0;0;0;12,08574734;0;0;0;0;0;18,58973127;19;24;0;0
1;02/08/2015;12.20.00 AM;1;0;0;64;132,9;11,70600625;0;0;0;16,74994838;18,52574554;0;61,70455972;0;0;0;0;19,19580266;0;0;64;0;0;0;0;0;12,08176064;0;0;0;0;0;18,55721798;19;24;0;0
1;02/08/2015;12.21.00 AM;1;0;0;64;132,9;11,68552311;0;0;0;16,74704996;18,49525887;0;61,69715764;0;0;0;0;19,1730116;0;0;64;0;0;0;0;0;12,07763353;0;0;0;0;0;18,52574554;19;24;0;0
1;02/08/2015;12.22.00 AM;1;0;0;64;132,9;11,66903996;0;0;0;16,74410452;18,46571625;0;61,6897516;0;0;0;0;19,14995879;0;0;64;0;0;0;0;0;12,07332621;0;0;0;0;0;18,49525887;19;24;0;0
1;02/08/2015;12.23.00 AM;1;0;0;64;132,9;11,64880682;0;0;0;16,74110957;18,43706785;0;61,68234176;0;0;0;0;19,12668523;0;0;64;0;0;0;0;0;12,0688847;0;0;0;0;0;18,46571625;19;24;0;0
1;02/08/2015;12.24.00 AM;1;0;0;64;132,9;11,64182368;0;0;0;16,73807951;18,40928921;0;61,67492829;0;0;0;0;19,10322886;0;0;64;0;0;0;0;0;12,06426913;0;0;0;0;0;18,43706785;19;24;0;0
1;02/08/2015;12.25.00 AM;1;0;0;64;132,9;11,63459054;0;0;0;16,73501524;18,38233942;0;61,66751132;0;0;0;0;19,07962547;0;0;64;0;0;0;0;0;12,05962745;0;0;0;0;0;18,40928921;19;24;0;0
1;02/08/2015;12.26.00 AM;1;0;0;64;132,9;11,6273574;0;0;0;16,73191784;18,35618033;0;61,660091;0;0;0;0;19,05590826;0;0;64;0;0;0;0;0;12,05495719;0;0;0;0;0;18,38233942;19;24;0;0
1;02/08/2015;12.27.00 AM;1;0;0;64;132,9;11,62062426;0;0;0;16,72878883;18,33077649;0;61,65266748;0;0;0;0;19,03210799;0;0;64;0;0;0;0;0;12,05025869;0;0;0;0;0;18,35618033;19;24;0;0
1;02/08/2015;12.28.00 AM;1;0;0;64;132,9;11,61539112;0;0;0;16,7256307;18,30609569;0;61,64524087;0;1;0;0;19,00825317;0;0;64;0;0;0;0;0;12,04553774;0;0;0;0;0;18,33077649;19;24;0;0
1;02/08/2015;12.29.00 AM;1;0;0;64;132,9;11,61015798;0;0;0;16,72244439;18,28210545;0;61,6378113;0;1;0;0;18,98437027;0;0;64;0;0;0;0;0;12,04081116;0;0;0;0;0;18,30609569;19;24;0;0
1;02/08/2015;12.30.00 AM;1;0;0;64;132,9;11,60517484;0;0;0;16,71923105;18,25877537;0;61,63037889;0;1;0;0;18,96048371;0;0;64;0;0;0;0;0;12,03607898;0;0;0;0;0;18,28210545;19;24;0;0
1;02/08/2015;12.31.00 AM;1;0;0;64;132,9;11,5999417;0;0;0;16,7159913;18,23607599;0;61,62294376;0;1;0;0;18,93661608;0;0;64;0;0;0;0;0;12,03134404;0;0;0;0;0;18,25877537;19;24;0;0
1;02/08/2015;12.32.00 AM;1;0;0;64;132,9;11,59495856;0;0;0;16,71272619;18,21398003;0;61,61550601;0;1;0;0;18,91278818;0;0;64;0;0;0;0;0;12,0266036;0;0;0;0;0;18,23607599;19;24;0;0
1;02/08/2015;12.33.00 AM;1;0;0;64;132,9;11,58897542;0;0;0;16,70943553;18,19245999;0;61,60806575;0;1;0;0;18,8890192;0;0;64;0;0;0;0;0;12,02186049;0;0;0;0;0;18,21398003;19;24;0;0
1;02/08/2015;12.34.00 AM;1;0;0;64;132,9;11,58274228;0;0;0;16,70611982;18,17149077;0;61,60062307;0;1;0;0;18,86532671;0;0;64;0;0;0;0;0;12,01710371;0;0;0;0;0;18,19245999;19;24;0;0
1;02/08/2015;12.35.00 AM;1;0;0;64;132,9;11,57625914;0;0;0;16,70277953;18,15104853;0;61,59317808;0;1;0;0;18,84172685;0;0;64;0;0;0;0;0;12,01233064;0;0;0;0;0;18,17149077;19;24;0;0
1;02/08/2015;12.36.00 AM;1;0;0;64;132,9;11,570026;0;0;0;16,69941561;18,13111132;0;61,58573086;0;1;0;0;18,81823439;0;0;64;0;0;0;0;0;12,00753872;0;0;0;0;0;18,15104853;19;24;0;0
1;02/08/2015;12.37.00 AM;1;0;0;64;132,9;11,56229285;0;0;0;16,69602723;18,11165597;0;61,5782815;0;1;0;0;18,79486285;0;0;64;0;0;0;0;0;12,00273091;0;0;0;0;0;18,13111132;19;24;0;0
1;02/08/2015;12.38.00 AM;1;0;0;64;132,9;11,55605971;0;0;0;16,69261651;18,09266446;0;61,57083007;0;1;0;0;18,77162452;0;0;64;0;0;0;0;0;11,99789083;0;0;0;0;0;18,11165597;19;24;0;0
1;02/08/2015;12.39.00 AM;1;0;0;64;132,9;11,54832657;0;0;0;16,68918259;18,07411569;0;61,56337667;0;1;0;0;18,74853065;0;0;64;0;0;0;0;0;11,99303539;0;0;0;0;0;18,09266446;19;24;0;0
1;02/08/2015;12.40.00 AM;1;0;0;64;132,9;11,53959343;0;0;0;16,68572504;18,05599027;0;61,55592137;0;1;0;0;18,72559136;0;0;64;0;0;0;0;0;11,98814822;0;0;0;0;0;18,07411569;19;24;0;0
1;02/08/2015;12.41.00 AM;1;0;0;64;132,9;11,53011029;0;0;0;16,68224368;18,03827009;0;61,54846424;0;1;0;0;18,70281581;0;0;64;0;0;0;0;0;11,98321863;0;0;0;0;0;18,05599027;19;24;0;0
1;02/08/2015;12.42.00 AM;1;0;0;64;132,9;11,51912715;0;0;0;16,67873757;18,02093687;0;61,54100535;0;1;0;0;18,68021222;0;0;64;0;0;0;0;0;11,97823881;0;0;0;0;0;18,03827009;19;24;0;0
1;02/08/2015;12.43.00 AM;1;0;0;273;341,9;11,50939401;0;0;0;16,67520847;18,03081937;0;61,53354477;0;1;0;0;18,65778789;0;0;273;0;0;0;0;0;11,97319277;0;0;0;0;0;18,02093687;19;24;0;0
1;02/08/2015;12.44.00 AM;1;0;0;273;341,9;11,49916087;0;0;0;16,67168895;18,03948278;0;61,52608716;0;1;0;0;18,63646243;0;0;273;0;0;0;0;0;11,96809502;0;0;0;0;0;18,03081937;19;24;0;0
1;02/08/2015;12.45.00 AM;1;0;0;273;341,9;11,48417773;0;0;0;16,66817277;18,04741966;0;61,51863231;0;1;0;0;18,616157;0;0;273;0;0;0;0;0;11,96294062;0;0;0;0;0;18,03948278;19;24;0;0
1;02/08/2015;12.46.00 AM;1;0;0;273;341,9;11,46869459;0;0;0;16,66465855;18,05466494;0;61,5111801;0;1;0;0;18,59681219;0;0;273;0;0;0;0;0;11,95767777;0;0;0;0;0;18,04741966;19;24;0;0
